
Passenger 1 ID,Passenger 2 ID,Number of flights together
           701,           760,                        15
          2717,          2759,                        14
          3503,          3590,                        14
          2939,          5490,                        13
          1337,          2867,                        12
          7877,          9252,                        12
           382,           392,                        12
          2759,          4316,                        12
          3278,          5423,                        12
          3021,          9522,                        12
           975,          1371,                        12
          1208,          3093,                        12
          4316,          4373,                        12
          4395,          4399,                        12
           760,           763,                        12
          1337,          1484,                        12
          2926,          3590,                        12
           701,           763,                        12
          2939,          4395,                        12
           366,           374,                        12

